id,rh98
33,
103,
173,
243,
313,
383,8.239787570212787
453,
523,
593,
663,
733,6.92297873598464
803,8.23457145690918
873,6.43999991918865
943,8.616381296387907
1013,7.2412195089386735
1083,6.342857292720249
1153,6.58000009059906
1223,7.619754099455036
1293,6.865270285993009
1363,6.68565209015556
1433,6.848769253950852
1503,7.758860213632228
1573,6.926666657129924
1643,6.038333336512248
1713,6.644999980926514
1783,
1853,
1923,
1993,7.182499945163727
2063,
2133,
2203,
2273,
2343,
2413,
2483,
2553,
2623,
2693,8.869999885559082
2763,7.173999977111817
2833,
2903,
2973,
3043,
3113,
3183,
3253,
29,
99,9.240239611642803
169,6.56458389228164
239,9.245728911635764
309,8.240099822483987
379,9.372256846743335
449,5.947051170544746
519,7.868607943599326
589,12.126624929904938
659,7.865638417875229
729,7.86926230446237
799,
869,
939,
1009,
1079,
1149,
1219,
1289,
1359,
1429,
1499,
1569,
1639,
1709,
1779,10.6899995803833
1849,6.720403240573022
1919,6.736128844081159
1989,8.755378708743386
2059,12.878499022105196
2129,
2199,
2269,
2339,
2409,
2479,7.442272684790871
2549,9.11613220538733
2619,10.24427003875445
2689,7.738175512606194
2759,6.4264029502362785
2829,7.4427499055862425
2899,
2969,11.372837865674818
3039,10.623271700776654
3109,12.376550402229599
3179,11.12228149580724
3249,7.862682301551104
25,
95,14.23812087033776
165,11.115852356900144
235,7.244662581280893
305,7.240377371394989
375,8.374701516915673
445,7.31308744680353
515,6.229433358846372
585,6.628399991989136
655,9.118984183054122
725,10.249685427464476
795,10.865238117036366
865,
935,
1005,13.845675803519583
1075,8.371208914033659
1145,9.35779658818649
1215,
1285,
1355,
1425,
1495,8.362871491082824
1565,11.237554204320332
1635,
1705,
1775,
1845,
1915,
1985,
2055,
2125,9.11410901570084
2195,
2265,5.963999843597412
2335,
2405,11.38443181731484
2475,11.24534879387598
2545,18.746870464077954
2615,7.617130437104598
2685,11.5600004196167
2755,9.669999957084656
2825,6.557142904826573
2895,6.8233334223429365
2965,14.875032705038643
3035,9.740111848118588
3105,10.736854245900497
3175,12.237564484448765
3245,8.743765161105014
21,
91,14.763641644075427
161,11.243562087514043
231,9.238365252306506
301,8.114874917268754
371,6.830833315849304
441,7.558095273517427
511,7.228352888203037
581,11.377851790180996
651,7.228398413903603
721,8.380090982263738
791,7.936143500084026
861,7.741432746251424
931,10.871960215896394
1001,14.745455142818182
1071,11.436129047024634
1141,
1211,
1281,
1351,
1421,
1491,8.78499984741211
1561,14.74084192287019
1631,
1701,
1771,8.300000190734863
1841,10.23041955574409
1911,11.228968264564635
1981,8.734672085183565
2051,7.8584746021335405
2121,12.863921539456237
2191,
2261,
2331,
2401,11.727482983855163
2471,7.733757227142422
2541,8.226691765892774
2611,8.368140531965524
2681,18.75891574585549
2751,25.626703597557686
2821,22.124706003686526
2891,9.724352931976318
2961,7.303529430838192
3031,8.383503732890109
3101,
3171,
3241,
17,
87,
157,17.866796028623707
227,14.877857037952968
297,17.25791674326409
367,12.633333206176758
437,
507,
577,
647,
717,16.25458785929083
787,17.24275823865353
857,12.12097563394686
927,13.617966118505446
997,17.259999284080692
1067,9.749297860328188
1137,9.245456770284408
1207,11.254138481279934
1277,10.24285521520047
1347,13.738931612536263
1417,14.773344448178907
1487,
1557,
1627,17.267117238260784
1697,11.74704970256147
1767,14.625468641519547
1837,10.741003361832737
1907,11.045000076293945
1977,
